Data Check|EDC Table|Data Check Description|Category|Type|SQL_File_Ref
DC 1.01|Table IID|Required tables are not present|Data Model Conformance|Required|sql/checks/dc_1_01.sql
DC 1.02|Table IID|Required tables are not populated. DEMOGRAPHIC, ENROLLMENT, ENCOUNTER, DIAGNOSIS, PROCEDURES, and HARVEST are required for all network partners; LAB_RESULT_CM, PRESCRIBING, and VITAL are required for network partners with electronic health record data|Data Model Conformance|Required|sql/checks/dc_1_02.sql
DC 1.03|Table IID|Required fields are not present|Data Model Conformance|Required|sql/checks/dc_1_03.sql
DC 1.04|Table IID|Required fields do not conform to data model specifications for data type, length, or name|Data Model Conformance|Required|sql/checks/dc_1_04.sql
DC 1.05|Table IIA|Tables have primary key definition errors|Data Model Conformance|Required|sql/checks/dc_1_05.sql
DC 1.06|Table IIB|Required fields contain values outside of data model specifications|Data Model Conformance|Required|sql/checks/dc_1_06.sql
DC 1.07|Table IIC|Required fields have non-permissible missing values|Data Model Conformance|Required|sql/checks/dc_1_07.sql
DC 1.08|Table IIE|Tables contain orphan PATIDs (PATIDS that are not present in the DEMOGRAPHIC table)|Data Model Conformance|Required|sql/checks/dc_1_08.sql
DC 1.09|Table IIE|Tables contain orphan ENCOUNTERIDs (ENCOUNTERIDs that are not present in the ENCOUNTER table) for more than 5% of records|Data Model Conformance|Required|sql/checks/dc_1_09.sql
DC 1.10|Table IIE|Replication errors between the ENCOUNTER, PROCEDURES and DIAGNOSIS tables. Replication errors are ENCOUNTERIDs in the DIAGNOSIS or PROCEDURES table where the encounter type or admit date does not match the corresponding value in the ENCOUNTER table|Data Model Conformance|Required|sql/checks/dc_1_10.sql
DC 1.11|Table IIE|More than 5% of encounters are assigned to more than one patient|Data Model Conformance|Required|sql/checks/dc_1_11.sql
DC 1.12|Table IIE|Tables contain orphan PROVIDERIDs (PROVIDERIDs that are not present in the PROVIDER table)|Data Model Conformance|Required|sql/checks/dc_1_12.sql
DC 1.13|Table IIF|More than 5% of CPT®/HCPCS, CVX, ICD, NDC, LOINC or RXNORM codes do not conform to the expected length or content based on terminology-specific heuristics|Data Model Conformance|Required|sql/checks/dc_1_13.sql
DC 1.14|Table IIE|Patients in the DEMOGRAPHIC table are not in the HASH_TOKEN table|Data Model Conformance|Investigative|sql/checks/dc_1_14.sql
DC 1.15|Table IID|Fields with undefined lengths that are present in more than one table (PATID, ENCOUNTERID, PRESCRIBINGID, PROCEDURESID, PROVIDERID, MEDADMIN_PROVIDERID, OBSGEN_PROVIDERID, OBSCLIN_PROVIDERID, RX_PROVIDERID, and VX_PROVIDERID) do not have harmonized field lengths|Data Model Conformance|Required|sql/checks/dc_1_15.sql
DC 1.16|Table IIF|Laboratory results or clinical observations are recorded in the wrong table based on the LOINC® classtype|Data Model Conformance|Investigative|sql/checks/dc_1_16.sql
DC 1.17|Table IID|Zip codes in the ENCOUNTER or LDS_ADDRESS_HISTORY table have non-conforming values (alphabetical characters or the wrong number of digits)|Data Model Conformance|Required|sql/checks/dc_1_17.sql
DC 1.18|Table ID|Table refresh dates are not documented in the HARVEST table for populated tables|Data Model Conformance|Required|sql/checks/dc_1_18.sql
DC 1.19|Table IIE|More than 10% of the values in any hash token field are assigned to multiple patients|Data Model Conformance|Investigative|sql/checks/dc_1_19.sql
DC 1.20|Table IIG|More than 5% of LOINC records in the LAB_RESULT_CM, PRO_CM, and OBS_CLIN tables are panel codes based on the LOINC® panel type|Data Model Conformance|Investigative|sql/checks/dc_1_20.sql
DC 1.21|Table IID|STATE_FIPS, COUNTY_FIPS and RUCA_ZIP fields have non-conforming values (alphabetical characters or discrepancies between STATE_FIPS and COUNTY_FIPS)|Data Model Conformance|Required|sql/checks/dc_1_21.sql
DC 2.01|Table IIIA|More than 5% of records have future dates. Future dates are defined as those with dates occurring after the maximum refresh date in the HARVEST table|Data Plausibility|Investigative|sql/checks/dc_2_01.sql
DC 2.02|Table IIIB|More than 10% of records fall into the lowest or highest categories of age (<0 or >89), height (<21 inches or >76 inches), weight (<0 lbs or >350 lbs), diastolic blood pressure (<40 mmHg or >120 mmHg), systolic blood pressure (<40 mmHg or >210 mmHg), or dispensed days supply (<1 day or >90 days)|Data Plausibility|Investigative|sql/checks/dc_2_02.sql
DC 2.03|Table IIIC|More than 5% of patients have illogical date relationships. Illogical date relationships are defined as dates of service which occur before a patient's birth date or after a patient's death date; procedure dates occurring more than 5 days before the admit date or 5 days after the discharge date for the same encounter; or stop dates before start dates in the EXTERNAL_MEDS, MED_ADMIN, OBS_CLIN, OBS_GEN, or PAT_RELATIONSHIP tables|Data Plausibility|Investigative|sql/checks/dc_2_03.sql
